ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,4,1,meeting minutes,,CPI,17,106,,128,y_bl,0.0024560723092352413
"(1996, 1)",0.0,train,4,1,meeting minutes,,CPI,17,106,,128,y_probe,0.002106083446832634
"(1996, 3)",0.005157974040266744,train,4,1,meeting minutes,,CPI,17,77,,128,y_bl,0.0024560723092352413
"(1996, 3)",0.005157974040266744,train,4,1,meeting minutes,,CPI,17,77,,128,y_probe,0.0022938829815680436
"(1996, 5)",0.005771096491922201,train,4,1,meeting minutes,,CPI,17,88,,128,y_bl,0.0037690434744508125
"(1996, 5)",0.005771096491922201,train,4,1,meeting minutes,,CPI,17,88,,128,y_probe,0.002405460952725568
"(1996, 7)",0.0038289772370987407,train,4,1,meeting minutes,,CPI,17,124,,128,y_bl,0.0032827464939015547
"(1996, 7)",0.0038289772370987407,train,4,1,meeting minutes,,CPI,17,124,,128,y_probe,0.002275571496268944
"(1996, 8)",0.0012730746467983778,train,4,1,meeting minutes,,CPI,17,75,,128,y_bl,0.0028039742349685653
"(1996, 8)",0.0012730746467983778,train,4,1,meeting minutes,,CPI,17,75,,128,y_probe,0.002258433340111005
"(1996, 9)",0.0031756139738856604,train,4,1,meeting minutes,,CPI,17,91,,128,y_bl,0.0010810193760826764
"(1996, 9)",0.0031756139738856604,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,76,,128,y_bl,0.0010810193760826764
"(1996, 9)",0.0031756139738856604,train,4,1,meeting minutes,,CPI,17,91,,128,y_probe,0.002326127364422289
"(1996, 9)",0.0031756139738856604,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,76,,128,y_probe,0.0024212477657750003
"(1996, 10)",0.003165561364558478,train,4,1,speech,Chairman Alan Greenspan,CPI,17,20,,128,y_bl,0.0016914811497996231
"(1996, 10)",0.003165561364558478,train,4,1,speech,Chairman Alan Greenspan,CPI,17,20,,128,y_probe,0.002407227162658376
"(1996, 11)",0.0031555721988105745,train,4,1,meeting minutes,,CPI,17,82,,128,y_bl,0.0019053698311793784
"(1996, 11)",0.0031555721988105745,train,4,1,meeting minutes,,CPI,17,82,,128,y_probe,0.002216336759085659
"(1996, 12)",0.00251730781137649,train,4,1,meeting minutes,,CPI,17,67,,128,y_bl,0.002594639077502453
"(1996, 12)",0.00251730781137649,train,4,1,meeting minutes,,CPI,17,67,,128,y_probe,0.0022780957139219744
"(1997, 1)",0.0018838310123721058,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,11,,128,y_bl,0.001944447418225399
"(1997, 1)",0.0018838310123721058,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,11,,128,y_probe,0.0022336443493145073
"(1997, 2)",0.00188028886485192,train,4,1,meeting minutes,,CPI,17,82,,128,y_bl,0.0018650880983529224
"(1997, 2)",0.00188028886485192,train,4,1,meeting minutes,,CPI,17,82,,128,y_probe,0.0023560837450482463
"(1997, 3)",0.000625978111206571,train,4,1,meeting minutes,,CPI,17,77,,128,y_bl,0.0019342664469848214
"(1997, 3)",0.000625978111206571,train,4,1,meeting minutes,,CPI,17,77,,128,y_probe,0.0023463625657248197
"(1997, 4)",0.000625586507735143,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,168,,128,y_bl,0.0017681049300991034
"(1997, 4)",0.000625586507735143,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,168,,128,y_probe,0.0024264204550412784
"(1997, 5)",-2.6645352591003757e-15,train,4,1,meeting minutes,,CPI,17,85,,128,y_bl,0.00208690035768782
"(1997, 5)",-2.6645352591003757e-15,train,4,1,speech,Chairman Alan Greenspan,CPI,17,61,,128,y_bl,0.00208690035768782
"(1997, 5)",-2.6645352591003757e-15,train,4,1,meeting minutes,,CPI,17,85,,128,y_probe,0.0023625771122767654
"(1997, 5)",-2.6645352591003757e-15,train,4,1,speech,Chairman Alan Greenspan,CPI,17,61,,128,y_probe,0.0023269268783530136
"(1997, 7)",0.0031220755925041033,train,4,1,meeting minutes,,CPI,17,116,,128,y_bl,0.0019062534739715646
