ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,5,1,meeting minutes,,UST,15,106,10 Yr,128,y_bl,-0.008365829185044369
"(1996, 1)",0.0,train,5,1,meeting minutes,,UST,15,106,10 Yr,128,y_probe,-0.0043279045434072
"(1996, 3)",0.10447202159671166,train,5,1,meeting minutes,,UST,15,77,10 Yr,128,y_bl,-0.008365829185044369
"(1996, 3)",0.10447202159671166,train,5,1,meeting minutes,,UST,15,77,10 Yr,128,y_probe,-0.0024483409646820745
"(1996, 5)",0.06203539091945277,train,5,1,meeting minutes,,UST,15,88,10 Yr,128,y_bl,-0.015054708954775474
"(1996, 5)",0.06203539091945277,train,5,1,meeting minutes,,UST,15,88,10 Yr,128,y_probe,-0.0036215092534772845
"(1996, 7)",0.022305757514299973,train,5,1,meeting minutes,,UST,15,124,10 Yr,128,y_bl,-0.020148793781222796
"(1996, 7)",0.022305757514299973,train,5,1,meeting minutes,,UST,15,124,10 Yr,128,y_probe,-0.003358379100541418
"(1996, 8)",-0.03136926366764322,train,5,1,meeting minutes,,UST,15,75,10 Yr,128,y_bl,-0.026959524013120788
"(1996, 8)",-0.03136926366764322,train,5,1,meeting minutes,,UST,15,75,10 Yr,128,y_probe,-0.002018332268739463
"(1996, 9)",0.026947738409769422,train,5,1,meeting minutes,,UST,15,91,10 Yr,128,y_bl,-0.02575148578694913
"(1996, 9)",0.026947738409769422,train,5,1,meeting minutes,,UST,15,91,10 Yr,128,y_probe,-0.003252131032879165
"(1996, 10)",-0.029987254427663146,train,5,1,speech,Chairman Alan Greenspan,UST,15,20,10 Yr,128,y_bl,-0.035336080928923624
"(1996, 10)",-0.029987254427663146,train,5,1,speech,Chairman Alan Greenspan,UST,15,20,10 Yr,128,y_probe,0.00025350311338638614
"(1996, 11)",-0.0579645404454726,train,5,1,meeting minutes,,UST,15,82,10 Yr,128,y_bl,-0.018063160151763142
"(1996, 11)",-0.0579645404454726,train,5,1,meeting minutes,,UST,15,82,10 Yr,128,y_probe,-0.005214270312692401
"(1996, 12)",0.034868825650825185,train,5,1,meeting minutes,,UST,15,67,10 Yr,128,y_bl,-0.006570289412058536
"(1996, 12)",0.034868825650825185,train,5,1,meeting minutes,,UST,15,67,10 Yr,128,y_probe,-0.0034453700936564777
"(1997, 1)",0.02309571479464889,train,5,1,speech,Governor Laurence H. Meyer,UST,15,11,10 Yr,128,y_bl,0.0003247468820646831
"(1997, 1)",0.02309571479464889,train,5,1,speech,Governor Laurence H. Meyer,UST,15,11,10 Yr,128,y_probe,0.006491023697352028
"(1997, 2)",-0.01843370168883829,train,5,1,meeting minutes,,UST,15,82,10 Yr,128,y_bl,-0.007399175652468498
"(1997, 2)",-0.01843370168883829,train,5,1,meeting minutes,,UST,15,82,10 Yr,128,y_probe,-0.0012215910574698125
"(1997, 3)",0.04546237407675845,train,5,1,meeting minutes,,UST,15,77,10 Yr,128,y_bl,-0.00198740101865962
"(1997, 3)",0.04546237407675845,train,5,1,meeting minutes,,UST,15,77,10 Yr,128,y_probe,-0.002488519861571786
"(1997, 4)",0.026317308317373212,train,5,1,speech,Governor Laurence H. Meyer,UST,15,168,10 Yr,128,y_bl,-0.00566674234750426
"(1997, 4)",0.026317308317373212,train,5,1,speech,Governor Laurence H. Meyer,UST,15,168,10 Yr,128,y_probe,0.005146439692752087
"(1997, 5)",-0.03250695587046226,train,5,1,meeting minutes,,UST,15,85,10 Yr,128,y_bl,-0.01979082253007269
"(1997, 5)",-0.03250695587046226,train,5,1,speech,Chairman Alan Greenspan,UST,15,61,10 Yr,128,y_bl,-0.01979082253007269
"(1997, 5)",-0.03250695587046226,train,5,1,meeting minutes,,UST,15,85,10 Yr,128,y_probe,-0.0031546094890451785
"(1997, 5)",-0.03250695587046226,train,5,1,speech,Chairman Alan Greenspan,UST,15,61,10 Yr,128,y_probe,0.007124347783312284
"(1997, 7)",-0.03927380720941799,train,5,1,meeting minutes,,UST,15,116,10 Yr,128,y_bl,-0.01604608763210516
"(1997, 7)",-0.03927380720941799,train,5,1,meeting minutes,,UST,15,116,10 Yr,128,y_probe,-0.0016820298838869695
"(1997, 8)",-0.03791923486229498,train,5,1,meeting minutes,,UST,15,74,10 Yr,128,y_bl,-0.007734970765157045
"(1997, 8)",-0.03791923486229498,train,5,1,meeting minutes,,UST,15,74,10 Yr,128,y_probe,-0.004001060422977101
"(1997, 9)",-0.0014483826143687388,train,5,1,meeting minutes,,UST,15,72,10 Yr,128,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Chairman Alan Greenspan,UST,15,83,10 Yr,128,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Governor Laurence H. Meyer,UST,15,127,10 Yr,128,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,meeting minutes,,UST,15,72,10 Yr,128,y_probe,-0.004786227446917439
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Chairman Alan Greenspan,UST,15,83,10 Yr,128,y_probe,0.0017264963526041688
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Governor Laurence H. Meyer,UST,15,127,10 Yr,128,y_probe,0.003043890358335646
"(1997, 10)",-0.021533799009074858,train,5,1,speech,Governor Laurence H. Meyer,UST,15,135,10 Yr,128,y_bl,-0.002265153952310951
"(1997, 10)",-0.021533799009074858,train,5,1,speech,Governor Laurence H. Meyer,UST,15,135,10 Yr,128,y_probe,-0.0016984624753490546
"(1997, 11)",-0.029217089674588206,train,5,1,meeting minutes,,UST,15,76,10 Yr,128,y_bl,0.0073873264129667385
"(1997, 11)",-0.029217089674588206,train,5,1,speech,Chairman Alan Greenspan,UST,15,83,10 Yr,128,y_bl,0.0073873264129667385
"(1997, 11)",-0.029217089674588206,train,5,1,meeting minutes,,UST,15,76,10 Yr,128,y_probe,-0.003237019575682776
"(1997, 11)",-0.029217089674588206,train,5,1,speech,Chairman Alan Greenspan,UST,15,83,10 Yr,128,y_probe,0.0011280088622274483
"(1997, 12)",-0.016080299232376923,train,5,1,meeting minutes,,UST,15,73,10 Yr,128,y_bl,0.006092506366371484
"(1997, 12)",-0.016080299232376923,train,5,1,speech,Chairman Alan Greenspan,UST,15,39,10 Yr,128,y_bl,0.006092506366371484
"(1997, 12)",-0.016080299232376923,train,5,1,meeting minutes,,UST,15,73,10 Yr,128,y_probe,-0.006424864675702724
"(1997, 12)",-0.016080299232376923,train,5,1,speech,Chairman Alan Greenspan,UST,15,39,10 Yr,128,y_probe,0.000244379605230407
"(1998, 1)",-0.05430868473641636,train,5,1,speech,Chairman Alan Greenspan,UST,15,14,10 Yr,128,y_bl,0.0043991081786223804
"(1998, 1)",-0.05430868473641636,train,5,1,speech,Governor Laurence H. Meyer,UST,15,135,10 Yr,128,y_bl,0.0043991081786223804
"(1998, 1)",-0.05430868473641636,train,5,1,speech,Chairman Alan Greenspan,UST,15,14,10 Yr,128,y_probe,0.0009144020371035224
"(1998, 1)",-0.05430868473641636,train,5,1,speech,Governor Laurence H. Meyer,UST,15,135,10 Yr,128,y_probe,0.00014311606274492174
"(1998, 2)",0.011814483413762566,train,5,1,meeting minutes,,UST,15,85,10 Yr,128,y_bl,0.0021982673757755086
"(1998, 2)",0.011814483413762566,train,5,1,meeting minutes,,UST,15,85,10 Yr,128,y_probe,-0.0030634729815558134
"(1998, 3)",0.0038900379826986927,train,5,1,meeting minutes,,UST,15,84,10 Yr,128,y_bl,0.0036200187607145773
"(1998, 3)",0.0038900379826986927,train,5,1,speech,Governor Laurence H. Meyer,UST,15,176,10 Yr,128,y_bl,0.0036200187607145773
"(1998, 3)",0.0038900379826986927,train,5,1,meeting minutes,,UST,15,84,10 Yr,128,y_probe,-0.004685310760913224
"(1998, 3)",0.0038900379826986927,train,5,1,speech,Governor Laurence H. Meyer,UST,15,176,10 Yr,128,y_probe,0.005036145513655642
"(1998, 4)",0.0014321520528752796,train,5,1,speech,Governor Laurence H. Meyer,UST,15,67,10 Yr,128,y_bl,0.003857031996063129
"(1998, 4)",0.0014321520528752796,train,5,1,speech,Governor Laurence H. Meyer,UST,15,67,10 Yr,128,y_probe,0.002657399960383344
"(1998, 5)",0.010676257991343086,train,5,1,meeting minutes,,UST,15,94,10 Yr,128,y_bl,-0.0019223988845781395
"(1998, 5)",0.010676257991343086,train,5,1,meeting minutes,,UST,15,94,10 Yr,128,y_probe,-0.003072871718891281
"(1998, 6)",-0.0378764842904965,train,5,1,meeting minutes,,UST,15,111,10 Yr,128,y_bl,-0.001009792271689758
"(1998, 6)",-0.0378764842904965,train,5,1,meeting minutes,,UST,15,111,10 Yr,128,y_probe,-0.0030154692371788844
"(1998, 7)",-0.0055299680094622605,train,5,1,speech,"Governor Roger W. Ferguson, Jr.",UST,15,81,10 Yr,128,y_bl,-0.009420613184364672
"(1998, 7)",-0.0055299680094622605,train,5,1,speech,"Governor Roger W. Ferguson, Jr.",UST,15,81,10 Yr,128,y_probe,0.0033340072618517486
