ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,10,meeting minutes,,UST,24,106,1 Mo,y_bl,-0.0057523533079462475
"(1996, 1)",0.0,10,meeting minutes,,UST,24,106,1 Mo,y_probe,0.01610765472231946
"(1996, 3)",0.07738666361542093,10,meeting minutes,,UST,24,77,1 Mo,y_bl,-0.0057523533079462475
"(1996, 3)",0.07738666361542093,10,meeting minutes,,UST,24,77,1 Mo,y_probe,0.01044562573200829
"(1996, 5)",0.035824726518145805,10,meeting minutes,,UST,24,88,1 Mo,y_bl,-0.015055506877691716
"(1996, 5)",0.035824726518145805,10,meeting minutes,,UST,24,88,1 Mo,y_probe,0.029296760315196232
"(1996, 7)",0.013110165924207662,10,meeting minutes,,UST,24,124,1 Mo,y_bl,-0.011913417460334383
"(1996, 7)",0.013110165924207662,10,meeting minutes,,UST,24,124,1 Mo,y_probe,0.031968916972983256
"(1996, 8)",-0.016047025597516695,10,meeting minutes,,UST,24,75,1 Mo,y_bl,-0.00020192582557820442
"(1996, 8)",-0.016047025597516695,10,meeting minutes,,UST,24,75,1 Mo,y_probe,0.014201688396948778
"(1996, 9)",0.03184060585565751,10,meeting minutes,,UST,24,91,1 Mo,y_bl,-0.0061383372412705285
"(1996, 9)",0.03184060585565751,10,meeting minutes,,UST,24,91,1 Mo,y_probe,0.020276914361541228
"(1996, 10)",-0.024514565763584573,10,speech,Chairman Alan Greenspan,UST,24,20,1 Mo,y_bl,0.14605318147907356
"(1996, 10)",-0.024514565763584573,10,speech,Chairman Alan Greenspan,UST,24,20,1 Mo,y_probe,-0.031193422648273895
"(1996, 11)",-0.06172011215787131,10,meeting minutes,,UST,24,82,1 Mo,y_bl,-0.0070140801012760915
"(1996, 11)",-0.06172011215787131,10,meeting minutes,,UST,24,82,1 Mo,y_probe,0.0020164944282209715
"(1996, 12)",0.029076264081508763,10,meeting minutes,,UST,24,67,1 Mo,y_bl,0.009893431793614113
"(1996, 12)",0.029076264081508763,10,meeting minutes,,UST,24,67,1 Mo,y_probe,0.013796718326925004
"(1997, 1)",0.02384613737283403,10,speech,Governor Laurence H. Meyer,UST,24,11,1 Mo,y_bl,0.16802875727837815
"(1997, 1)",0.02384613737283403,10,speech,Governor Laurence H. Meyer,UST,24,11,1 Mo,y_probe,-0.014510743915533208
"(1997, 2)",-0.0073910166463893034,10,meeting minutes,,UST,24,82,1 Mo,y_bl,0.0030366934314220604
"(1997, 2)",-0.0073910166463893034,10,meeting minutes,,UST,24,82,1 Mo,y_probe,0.016021978122141636
"(1997, 3)",0.029241849594496383,10,meeting minutes,,UST,24,77,1 Mo,y_bl,-0.0037219927172518572
"(1997, 3)",0.029241849594496383,10,meeting minutes,,UST,24,77,1 Mo,y_probe,0.0363097366381232
"(1997, 4)",0.021383566025322764,10,speech,Governor Laurence H. Meyer,UST,24,168,1 Mo,y_bl,0.27700893238101554
"(1997, 4)",0.021383566025322764,10,speech,Governor Laurence H. Meyer,UST,24,168,1 Mo,y_probe,0.024523005427583313
"(1997, 5)",-0.02186144771088394,10,meeting minutes,,UST,24,85,1 Mo,y_bl,-0.0029759501206374035
"(1997, 5)",-0.02186144771088394,10,speech,Chairman Alan Greenspan,UST,24,61,1 Mo,y_bl,-0.0029759501206374035
"(1997, 5)",-0.02186144771088394,10,meeting minutes,,UST,24,85,1 Mo,y_probe,0.015370343968201432
"(1997, 5)",-0.02186144771088394,10,speech,Chairman Alan Greenspan,UST,24,61,1 Mo,y_probe,0.017775245386202607
"(1997, 7)",-0.01990532224880992,10,meeting minutes,,UST,24,116,1 Mo,y_bl,-0.017261095462849943
"(1997, 7)",-0.01990532224880992,10,meeting minutes,,UST,24,116,1 Mo,y_probe,0.004842619580471544
"(1997, 8)",-0.040515668893719894,10,meeting minutes,,UST,24,74,1 Mo,y_bl,-0.013241718413827026
"(1997, 8)",-0.040515668893719894,10,meeting minutes,,UST,24,74,1 Mo,y_probe,0.028061020157911225
"(1997, 9)",-0.005798144987579482,10,meeting minutes,,UST,24,72,1 Mo,y_bl,0.0006897036781851077
"(1997, 9)",-0.005798144987579482,10,speech,Chairman Alan Greenspan,UST,24,83,1 Mo,y_bl,0.0006897036781851077
