ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,5,1,meeting minutes,,UST,8,106,10 Yr,128,y_bl,-0.008365829185044369
"(1996, 1)",0.0,train,5,1,meeting minutes,,UST,8,106,10 Yr,128,y_probe,-0.004782587737129998
"(1996, 3)",0.10447202159671166,train,5,1,meeting minutes,,UST,8,77,10 Yr,128,y_bl,-0.008365829185044369
"(1996, 3)",0.10447202159671166,train,5,1,meeting minutes,,UST,8,77,10 Yr,128,y_probe,-0.00735516357185364
"(1996, 5)",0.06203539091945277,train,5,1,meeting minutes,,UST,8,88,10 Yr,128,y_bl,-0.015054708954775474
"(1996, 5)",0.06203539091945277,train,5,1,meeting minutes,,UST,8,88,10 Yr,128,y_probe,-0.006961058582018321
"(1996, 7)",0.022305757514299973,train,5,1,meeting minutes,,UST,8,124,10 Yr,128,y_bl,-0.020148793781222796
"(1996, 7)",0.022305757514299973,train,5,1,meeting minutes,,UST,8,124,10 Yr,128,y_probe,-0.004948803038603953
"(1996, 8)",-0.03136926366764322,train,5,1,meeting minutes,,UST,8,75,10 Yr,128,y_bl,-0.026959524013120788
"(1996, 8)",-0.03136926366764322,train,5,1,meeting minutes,,UST,8,75,10 Yr,128,y_probe,-0.004767678821671882
"(1996, 9)",0.026947738409769422,train,5,1,meeting minutes,,UST,8,91,10 Yr,128,y_bl,-0.02575148578694913
"(1996, 9)",0.026947738409769422,train,5,1,meeting minutes,,UST,8,91,10 Yr,128,y_probe,-0.006204167972685823
"(1996, 10)",-0.029987254427663146,train,5,1,speech,Chairman Alan Greenspan,UST,8,20,10 Yr,128,y_bl,-0.035336080928923624
"(1996, 10)",-0.029987254427663146,train,5,1,speech,Chairman Alan Greenspan,UST,8,20,10 Yr,128,y_probe,0.003362796857901448
"(1996, 11)",-0.0579645404454726,train,5,1,meeting minutes,,UST,8,82,10 Yr,128,y_bl,-0.018063160151763142
"(1996, 11)",-0.0579645404454726,train,5,1,meeting minutes,,UST,8,82,10 Yr,128,y_probe,-0.007186345461621965
"(1996, 12)",0.034868825650825185,train,5,1,meeting minutes,,UST,8,67,10 Yr,128,y_bl,-0.006570289412058536
"(1996, 12)",0.034868825650825185,train,5,1,meeting minutes,,UST,8,67,10 Yr,128,y_probe,-0.007845518701942705
"(1997, 1)",0.02309571479464889,train,5,1,speech,Governor Laurence H. Meyer,UST,8,11,10 Yr,128,y_bl,0.0003247468820646831
"(1997, 1)",0.02309571479464889,train,5,1,speech,Governor Laurence H. Meyer,UST,8,11,10 Yr,128,y_probe,0.006607245109391621
"(1997, 2)",-0.01843370168883829,train,5,1,meeting minutes,,UST,8,82,10 Yr,128,y_bl,-0.007399175652468498
"(1997, 2)",-0.01843370168883829,train,5,1,meeting minutes,,UST,8,82,10 Yr,128,y_probe,-0.006432658235778026
"(1997, 3)",0.04546237407675845,train,5,1,meeting minutes,,UST,8,77,10 Yr,128,y_bl,-0.00198740101865962
"(1997, 3)",0.04546237407675845,train,5,1,meeting minutes,,UST,8,77,10 Yr,128,y_probe,-0.005045301389574699
"(1997, 4)",0.026317308317373212,train,5,1,speech,Governor Laurence H. Meyer,UST,8,168,10 Yr,128,y_bl,-0.00566674234750426
